"bootstrap","lambda_min","coef_Intercept","coef_Depth","coef_temperature"
39,0.00155570874278267,7.39855062314824,-0.744073801228412,0.00876193593488796
40,0.00175460672466996,7.39947114334546,-0.761181109203934,0.00920591571728231
41,0.00351909562141076,7.35177847238862,-0.741356904932096,0.00883611652426604
42,0.00171316131461705,7.40753634335295,-0.711753854389795,0.00530533874877149
43,0.00328330121286688,7.36796915282466,-0.729148745644494,0.00738712992343893
44,0.00160613101440422,7.39141418192521,-0.732550678847397,0.00677952487148881
45,0.0028321232512298,7.32280053683662,-0.717203215558604,0.0091256505099344
46,0.00586650267396358,7.29965850021941,-0.693506686248747,0.00826179462587558
47,0.00155954909658143,7.35906598086116,-0.768345323329515,0.0106655376568777
48,0.00158231474591156,7.39918835182289,-0.735870633645733,0.00714622447445305
49,0.00168353199292215,7.45287103752605,-0.829362055112406,0.0110979611526329
50,0.00152876941322781,7.38221337992312,-0.707092621939635,0.00674219111681452
51,0.00181417416342536,7.43934226907946,-0.780278911858001,0.00882495491125241
52,0.0015581952024651,7.42782087695228,-0.780275572297072,0.0109771891839057
53,0.00161040589976118,7.4132725460384,-0.786680908485299,0.00951995978040623
54,0.00143817023671663,7.33079391173259,-0.681105974653357,0.00641365822829187
55,0.00147452715419817,7.3127265774198,-0.769505209292567,0.0126553697527662
56,0.00160601332890791,7.39390544616545,-0.726860019291844,0.00582457343646131
57,0.00153739200560138,7.38131793232744,-0.762042828953036,0.00948201989992212
58,0.0015015254398329,7.32168224829584,-0.735937399629637,0.00943358124718886
59,0.00155448947864439,7.37940194000455,-0.732640094449986,0.0079212966565139
60,0.00172902206164649,7.38923540990626,-0.746706767495632,0.0076100219524892
61,0.00263594705386513,7.46874964895677,-0.76635327940686,0.00701401805182752
62,0.00637584564439223,7.4256940690626,-0.780398981386245,0.0105819776579548
63,0.00223895402350803,7.48198148813091,-0.825451275086628,0.0105686723516853
64,0.00335607145133947,7.39331352238292,-0.763685609716233,0.00950795413540305
65,0.0016878274499609,7.40878451834675,-0.719309758135517,0.0077887690199189
66,0.00152567583667481,7.31759189530582,-0.739276473817387,0.00876816843189387
67,0.0014893021873954,7.35528601060185,-0.762766357076691,0.0117731369297903
68,0.00310223734574621,7.42067489755198,-0.794228273489687,0.0110287369163019
69,0.00222887248482885,7.3820004906447,-0.738037035725472,0.00861133249907338
70,0.00321875273209865,7.39939307475669,-0.768943765703409,0.0106952212907226
71,0.00164393767195305,7.34818945989723,-0.705476924526096,0.00802911869638091
72,0.0016147907291671,7.38779265968713,-0.799059903472902,0.0111627469470634
73,0.00166439495716253,7.47217371814729,-0.788332744630064,0.00999455982968273
74,0.00177550453815996,7.41990610448593,-0.743198385343409,0.00678380511692168
75,0.00158992499167667,7.39486713713559,-0.745500747641836,0.00831098932188979
76,0.00231350247057992,7.42703546901188,-0.770461949869377,0.00923933084268941
77,0.00236583181012286,7.34534908740394,-0.720977289259521,0.0084213217307523
78,0.00150070909867958,7.34868403669519,-0.692580136697714,0.00660904679762463
79,0.00164372643438019,7.46187911223403,-0.815958559497448,0.0108367300005475
80,0.00215504465088446,7.33251299969074,-0.699104656929316,0.00758288310026527
81,0.00163725997745604,7.4378299810145,-0.771704578739842,0.00784379857569431
82,0.00160835208154858,7.43444753280871,-0.756681900492847,0.00862389928721681
83,0.00150072017713382,7.36524817723467,-0.718392192234113,0.00721493028484147
84,0.0086405186313712,7.39774446612917,-0.72134234110605,0.00577400501665655
85,0.00441960955835204,7.52466025368039,-0.810703728486696,0.00768444469253494
86,0.0366061301640071,7.28783346181143,-0.595330382023814,0
87,0.00154969757561859,7.38538359977722,-0.755655103967242,0.00988710700476579
88,0.00145094352825945,7.32079836205013,-0.717559221811036,0.00962756202647229
89,0.00418624566741893,7.30265379732924,-0.71493895339436,0.00813679693678014
90,0.00164125882234617,7.42251814147592,-0.77960280264022,0.0098887181846789
91,0.00251641969072729,7.38274053566066,-0.714210335392264,0.00614341131837165
92,0.00402554700570399,7.41780756131092,-0.76174798245299,0.00874724507411491
93,0.00150513914614813,7.37790967247728,-0.709508192181761,0.00690197694624716
94,0.00148105587091602,7.3847524567598,-0.76130317835209,0.0111133962697746
95,0.00150631040058999,7.37608915935207,-0.778053762426993,0.0127763389526706
96,0.00178533066237862,7.43575701859682,-0.754982597576016,0.00699639695675985
97,0.00229672119490749,7.39466858220777,-0.766056293571079,0.00934335434413359
98,0.0037012518539362,7.42597697892321,-0.766307843744407,0.00893959294312843
99,0.00150777438749741,7.31975330064116,-0.70923075897303,0.00722471078417663
100,0.00243942942957099,7.37115954074079,-0.736041218284691,0.00875879358194308
101,0.00243966483565783,7.46001730615569,-0.795178371085545,0.00873387301769231
102,0.00166267213207252,7.42725125094193,-0.765290050659323,0.0074148111971028
103,0.00151755069939994,7.35758256925289,-0.749606697464782,0.0107637045344907
104,0.00156356023475884,7.39962567291419,-0.746034965394267,0.00804915139140797
105,0.00159341897495683,7.43417934815776,-0.763690698449226,0.00919777027125693
106,0.00338642370875718,7.41003058673411,-0.793265483646638,0.0107481759942757
107,0.00149235557881446,7.3566290593332,-0.729609016766299,0.00912428275091905
108,0.0387308207432362,7.34533650490188,-0.631289030092342,0
109,0.00389084927816848,7.37311418572615,-0.723664226629858,0.00697211049081129
110,0.00161967038348238,7.42556640044164,-0.779849328076249,0.00907721833269512
111,0.00146187927778918,7.35086064110638,-0.694712261466305,0.00739052756187814
112,0.00158284641796699,7.41493293439453,-0.752909878679358,0.00763332692849257
