RTP-BZ-400-05,Volcanos,YoungRift,LithoRef18-1deg,gradient,Trench,TopoI1,Transform,MeanCurvature-TopoIso-corr,Susceptibility-Sz-LitMod-Aus17-Afr,Ridge,binned-SL2013-2deg,lon,lat,Depth2Moho,VP1,VP2,VP3,VS1,VS2,VS3,Hcc,is_land,maxdepth,maxdepth_sd,volume
-2.56082636118,2180.42895508,1046.0,119.151161194,59.05,3155.0,-4520.18701172,2869.0,0.0052938694227496,0.0279154471354562,1641.0,6.0,39.5,-66.5,14.5,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,5.6239,False,1.9949281487743027,0.9545975709705471,9857.648669327302
-0.53430737555,2193.02270508,946.799987793,118.321350098,53.95,3280.0,-3613.74169922,2996.0,0.0012790891418994,0.0209559141658187,1714.0,,42.5,-66.5,14.6,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,5.4856,False,2.183163737280296,1.143242671970055,10787.787581696759
-9.5708138942725,1504.5111084,-18.5900001526,168.083145142,43.05,4317.0,-1824.13427734,4065.0,0.0068681324180228,0.0133101612445937,2648.0,6.0,69.5,-66.5,21.8,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,15.453,False,2.734646581691773,1.7937760567370553,13512.860226899418
-8.300448060035,1489.43774414,-58.9599990845,158.864364624,54.85,4421.0,-1370.38745117,4030.0,0.0064334249868992,0.0108533826423687,2543.0,,72.5,-66.5,21.6,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,15.8343,False,2.1474067333939946,1.1061000943036143,10611.099523033847
-2.8459502458575,1513.11572266,-74.6299972534,142.929000854,58.9,4618.0,-1004.42962646,3812.0,0.0020000083994816,0.0136428485857312,2353.0,,78.5,-66.5,22.2,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,19.7239,False,2.0,0.959457627118644,9882.710487978133
7.570997834205,1013.76147461,812.0,136.910873413,68.22,4419.0,-283.440124512,1233.0,-0.010997809339314,0.0191884959349312,880.799987793,2.0,139.5,-66.5,30.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,30.0537,False,1.7271662763466045,0.7155403144864504,8534.542136866363
1.1109975948925,1208.55627441,1386.0,114.788131714,44.0,1075.0,-5055.52587891,798.5,-0.0083421448245644,0.0374927676748562,798.5,,-7.5,-65.5,13.0,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,6.8394,False,2.675736961451247,1.71732559993007,13750.445587461145
-8.250623226165,1378.38037109,47.6399993896,115.079101562,59.8,4562.0,-2929.05834961,4024.0,-0.00053124036187,0.0208656729664625,2402.0,,74.5,-65.5,15.0,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,8.0042,False,1.969949916527546,0.9308424446977572,10123.449923322813
1.9844807088375,2174.56225586,447.899993896,102.134307861,43.05,5531.0,-437.20703125,2560.0,-0.0039532791404052,0.0112360127386562,1690.0,,109.5,-65.5,24.4,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,20.951,False,2.734646581691773,1.7937760567370553,14053.17845671
4.6259693503375,1565.60693359,706.599975586,157.004074097,16.9,4869.0,-622.763549805,1732.0,-0.01229238871484,0.0104278562357618,1298.0,,127.5,-65.5,25.0,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,21.6462,False,5.592417061611374,7.501790166438309,28739.082957679453
4.8767461776725,1478.61120605,759.400024414,156.010818481,57.8,4782.0,-529.392700195,1640.0,-0.0136456020921519,0.0104955846909437,1212.0,,129.5,-65.5,25.8,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,22.206,False,2.0379965457685665,0.9962600039971243,10473.137312729474
4.824759364125,1347.45898438,847.299987793,116.256843567,70.1,4652.0,-500.992370605,1504.0,-0.0151569167152039,0.0102235823287575,1086.0,,132.5,-65.5,27.3,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,23.2314,False,1.680911680911681,0.677728265192653,8638.10043314867
-2.845368385315,817.004089355,692.200012207,83.120552063,55.85,4169.0,-2952.45385742,982.200012207,-0.022226438373328,0.0135981068597056,634.0,,144.5,-65.5,19.1,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,13.4286,False,2.1090259159964253,1.066914558111936,10838.152822288408
3.6803421974175,296.51965332,587.200012207,86.2597885132,150.0,3483.0,-3145.93164062,533.299987793,-0.024055739939204,0.0306512357201312,222.699996948,,169.5,-65.5,10.2,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,7.2085,False,0.7861425716189208,0.14824103495737465,4039.9377109063057
3.8522297143925,438.483978271,714.599975586,94.77759552,6.47939,3433.0,-3324.91015625,673.599975586,-0.027038005888468,0.0352819059044125,153.600006104,,173.5,-65.5,10.0,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,6.4996,False,5.592417061611374,7.501790166438309,28739.082957679453
0.679822281003,1246.2052002,1094.0,57.276512146,72.0,3382.0,-2866.08691406,1560.0,-0.0267378480732439,0.0256771157728562,98.5800018311,4.0,-166.5,-64.5,9.9,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,6.9353,False,1.636615811373093,0.6424795273939533,8731.27140552805
0.89637702703525,594.893127441,1261.0,115.939025879,72.0,1706.0,-4954.64990234,1852.0,-0.013202659972016,0.0382730269338937,1549.0,6.0,-98.5,-64.5,12.8,5.694938089,6.091359729,6.739466744,3.217479146,3.441446174,3.80760833,7.2278,False,1.636615811373093,0.6424795273939533,8731.27140552805
3.0016498565675,353.370574951,301.899993896,67.2548141479,90.9931818181818,770.900024414,-630.741394043,697.200012207,0.0118160215392724,0.0249530811561187,284.100006104,,-67.5,-64.5,19.7,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,14.9742,False,1.2953768618547445,0.40249276582650506,6910.777028242109
3.6621190309525,306.62411499,265.600006104,63.0603904724,119.3375,769.799987793,-504.457733154,662.299987793,0.016477690711616,0.0219801212661125,238.800003052,4.0,-66.5,-64.5,22.9,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,18.383,False,0.9879644165358451,0.23412533622715276,5270.745522457958
