RTP,LAB,Curie,elevation,gradient,Moho,Magnetic,Ridge,Susceptibility,tectonicunit,Topo,Transform,Trench,Volcanos,YoungRift,VP1,VP2,VP3,VS1,VS2,VS3,lat,lon,is_land
-3.768599475,192.93591,40.960423,,,40,-28.342957,2736,0.011300192,,-60.08547,3115,3228,462.5834,617.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-64,TRUE
-3.757924275,193.06917,40.995987,,,40,-34.043396,2737,0.01130016,,-43.73252,3115,3227,463.5023,618.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-63,TRUE
-3.7470712,193.20154,41.03103,,,40,-17.996695,2738,0.011300128,,-54.146526,3115,3227,464.4157,619,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-62,TRUE
-3.736083725,193.33298,41.06549,,,40,-28.945385,2739,0.0113001,,-68.241486,3115,3226,465.3237,619.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-61,TRUE
-3.724875725,193.46344,41.08583,,,40,-34.591633,2739,0.011300077,,-38.864468,3115,3225,466.2263,620.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-60,TRUE
-3.71358085,193.59288,41.24039,,,40,-30.425598,2740,0.011300059,,-2.8866918,3115,3225,467.12283,621.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-59,TRUE
-3.702081875,193.7213,41.393814,,,40,-41.102283,2741,0.011300046,,-35.857113,3115,3224,468.013,622.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-58,TRUE
-3.6904265,193.84862,41.411163,,,40,-48.294724,2742,0.011300035,,-98.77137,3115,3224,468.8969,623.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-57,TRUE
-3.678649425,193.97484,41.44117,,,40,-33.027313,2743,0.011300025,,-136.16788,3115,3223,469.7742,624.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-56,TRUE
-3.666703225,194.09991,41.470234,,,40,-60.227535,2744,0.011300018,,-154.47166,3115,3223,470.6446,625.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-55,TRUE
-3.654589825,194.22385,41.509396,,,40,-62.86398,2744,0.011300012,,-161.76974,3115,3222,471.50806,625.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-54,TRUE
-3.6423532,194.34657,41.28381,,,40,-65.06947,2745,0.011300008,,-163.67218,3115,3222,472.36426,626.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-53,TRUE
-3.6299736,194.46811,42.581154,,,40,-59.604557,2746,0.011300005,,-177.64784,3115,3222,473.21292,627.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-52,TRUE
